estado,anio,mes,mes_num,sexo,homicidios_total
Aguascalientes,2006,Agosto,8,Mujer,1
Aguascalientes,2006,Septiembre,9,Hombre,1
Aguascalientes,2006,Septiembre,9,Mujer,1
Aguascalientes,2006,Octubre,10,Hombre,1
Aguascalientes,2006,Noviembre,11,Hombre,3
Aguascalientes,2006,Diciembre,12,Hombre,1
Aguascalientes,2007,Enero,1,Hombre,1
Aguascalientes,2007,Enero,1,Mujer,2
Aguascalientes,2007,Febrero,2,Hombre,1
Aguascalientes,2007,Marzo,3,Hombre,1
Aguascalientes,2007,Abril,4,Hombre,1
Aguascalientes,2007,Mayo,5,Hombre,3
Aguascalientes,2007,Junio,6,Hombre,3
Aguascalientes,2007,Julio,7,Hombre,5
Aguascalientes,2007,Julio,7,Mujer,1
Aguascalientes,2007,Agosto,8,Hombre,6
Aguascalientes,2007,Agosto,8,Mujer,2
Aguascalientes,2007,Septiembre,9,Hombre,4
Aguascalientes,2007,Septiembre,9,Mujer,1
Aguascalientes,2007,Octubre,10,Hombre,5
Aguascalientes,2007,Noviembre,11,Hombre,3
Aguascalientes,2007,Diciembre,12,Hombre,1
Aguascalientes,2007,Diciembre,12,Mujer,1
Aguascalientes,2008,Enero,1,Hombre,3
Aguascalientes,2008,Enero,1,Mujer,1
Aguascalientes,2008,Febrero,2,Hombre,1
Aguascalientes,2008,Febrero,2,Mujer,1
Aguascalientes,2008,Marzo,3,Hombre,3
Aguascalientes,2008,Abril,4,Hombre,2
Aguascalientes,2008,Mayo,5,Hombre,4
Aguascalientes,2008,Mayo,5,Mujer,1
Aguascalientes,2008,Junio,6,Hombre,1
Aguascalientes,2008,Junio,6,Mujer,1
Aguascalientes,2008,Julio,7,Hombre,11
Aguascalientes,2008,Agosto,8,Hombre,11
Aguascalientes,2008,Septiembre,9,Hombre,7
Aguascalientes,2008,Octubre,10,Hombre,3
Aguascalientes,2008,Octubre,10,Mujer,1
Aguascalientes,2008,Noviembre,11,Hombre,2
Aguascalientes,2008,Diciembre,12,Hombre,4
Aguascalientes,2008,Diciembre,12,Mujer,1
Aguascalientes,2009,Enero,1,Hombre,6
Aguascalientes,2009,Febrero,2,Hombre,5
Aguascalientes,2009,Marzo,3,Hombre,4
Aguascalientes,2009,Marzo,3,Mujer,1
Aguascalientes,2009,Abril,4,Hombre,4
Aguascalientes,2009,Abril,4,Mujer,2
Aguascalientes,2009,Mayo,5,Hombre,2
Aguascalientes,2009,Mayo,5,Mujer,4
Aguascalientes,2009,Junio,6,Hombre,3
Aguascalientes,2009,Julio,7,Hombre,8
Aguascalientes,2009,Julio,7,Mujer,1
Aguascalientes,2009,Agosto,8,Hombre,3
Aguascalientes,2009,Septiembre,9,Hombre,5
Aguascalientes,2009,Octubre,10,Hombre,4
Aguascalientes,2009,Noviembre,11,Hombre,5
Aguascalientes,2009,Diciembre,12,Hombre,5
Aguascalientes,2009,Diciembre,12,Mujer,3
Aguascalientes,2010,Enero,1,Hombre,4
Aguascalientes,2010,Febrero,2,Hombre,2
Aguascalientes,2010,Febrero,2,Mujer,1
Aguascalientes,2010,Marzo,3,Hombre,4
Aguascalientes,2010,Abril,4,Hombre,1
Aguascalientes,2010,Abril,4,Mujer,1
Aguascalientes,2010,Mayo,5,Hombre,3
Aguascalientes,2010,Junio,6,Hombre,8
Aguascalientes,2010,Julio,7,Hombre,4
Aguascalientes,2010,Julio,7,Mujer,1
Aguascalientes,2010,Agosto,8,Hombre,7
Aguascalientes,2010,Agosto,8,Mujer,3
Aguascalientes,2010,Septiembre,9,Hombre,8
Aguascalientes,2010,Septiembre,9,Mujer,1
Aguascalientes,2010,Octubre,10,Hombre,6
Aguascalientes,2010,Octubre,10,Mujer,2
Aguascalientes,2010,Noviembre,11,Hombre,11
Aguascalientes,2010,Diciembre,12,Hombre,7
Aguascalientes,2010,Diciembre,12,Mujer,1
Aguascalientes,2011,Enero,1,Hombre,8
Aguascalientes,2011,Enero,1,Mujer,1
Aguascalientes,2011,Febrero,2,Hombre,9
Aguascalientes,2011,Febrero,2,Mujer,1
Aguascalientes,2011,Marzo,3,Hombre,6
Aguascalientes,2011,Abril,4,Hombre,6
Aguascalientes,2011,Abril,4,Mujer,2
Aguascalientes,2011,Mayo,5,Hombre,7
Aguascalientes,2011,Mayo,5,Mujer,1
Aguascalientes,2011,Junio,6,Hombre,12
