estado,anio,mes,mes_num,homicidios_total
Aguascalientes,2017,Septiembre,9,10
Aguascalientes,2017,Octubre,10,8
Aguascalientes,2017,Noviembre,11,5
Aguascalientes,2017,Diciembre,12,5
Aguascalientes,2018,Enero,1,9
Aguascalientes,2018,Febrero,2,8
Aguascalientes,2018,Marzo,3,4
Aguascalientes,2018,Abril,4,9
Aguascalientes,2018,Mayo,5,7
Aguascalientes,2018,Junio,6,5
Aguascalientes,2018,Julio,7,6
Aguascalientes,2018,Agosto,8,7
Aguascalientes,2018,Septiembre,9,10
Aguascalientes,2018,Octubre,10,2
Aguascalientes,2018,Noviembre,11,6
Aguascalientes,2018,Diciembre,12,6
Aguascalientes,2019,Enero,1,9
Aguascalientes,2019,Febrero,2,11
Aguascalientes,2019,Marzo,3,10
Aguascalientes,2019,Abril,4,7
Aguascalientes,2019,Mayo,5,10
Aguascalientes,2019,Junio,6,12
Aguascalientes,2019,Julio,7,8
Aguascalientes,2019,Agosto,8,1
Aguascalientes,2019,Septiembre,9,11
Aguascalientes,2019,Octubre,10,18
Aguascalientes,2019,Noviembre,11,8
Aguascalientes,2019,Diciembre,12,10
Aguascalientes,2020,Enero,1,6
Aguascalientes,2020,Febrero,2,11
Aguascalientes,2020,Marzo,3,7
Aguascalientes,2020,Abril,4,4
Aguascalientes,2020,Mayo,5,11
Aguascalientes,2020,Junio,6,10
Aguascalientes,2020,Julio,7,13
Aguascalientes,2020,Agosto,8,10
Aguascalientes,2020,Septiembre,9,4
Aguascalientes,2020,Octubre,10,4
Aguascalientes,2020,Noviembre,11,7
Aguascalientes,2020,Diciembre,12,2
Aguascalientes,2021,Enero,1,6
Aguascalientes,2021,Febrero,2,6
Aguascalientes,2021,Marzo,3,8
Aguascalientes,2021,Abril,4,12
Aguascalientes,2021,Mayo,5,8
Aguascalientes,2021,Junio,6,8
Aguascalientes,2021,Julio,7,7
Aguascalientes,2021,Agosto,8,13
Aguascalientes,2021,Septiembre,9,5
Aguascalientes,2021,Octubre,10,10
Aguascalientes,2021,Noviembre,11,8
Aguascalientes,2021,Diciembre,12,9
Aguascalientes,2022,Enero,1,7
Aguascalientes,2022,Febrero,2,7
Aguascalientes,2022,Marzo,3,6
Aguascalientes,2022,Abril,4,2
Aguascalientes,2022,Mayo,5,5
Aguascalientes,2022,Junio,6,10
Aguascalientes,2022,Julio,7,8
Aguascalientes,2022,Agosto,8,8
Aguascalientes,2022,Septiembre,9,8
Aguascalientes,2022,Octubre,10,10
Aguascalientes,2022,Noviembre,11,7
Aguascalientes,2022,Diciembre,12,8
Aguascalientes,2023,Enero,1,6
Aguascalientes,2023,Febrero,2,10
Aguascalientes,2023,Marzo,3,17
Aguascalientes,2023,Abril,4,9
Aguascalientes,2023,Mayo,5,3
Aguascalientes,2023,Junio,6,13
Aguascalientes,2023,Julio,7,5
Aguascalientes,2023,Agosto,8,11
Aguascalientes,2023,Septiembre,9,6
Aguascalientes,2023,Octubre,10,4
Aguascalientes,2023,Noviembre,11,16
Aguascalientes,2023,Diciembre,12,9
Aguascalientes,2024,Enero,1,9
Aguascalientes,2024,Febrero,2,5
Aguascalientes,2024,Marzo,3,16
Aguascalientes,2024,Abril,4,9
Aguascalientes,2024,Mayo,5,19
Aguascalientes,2024,Junio,6,16
Aguascalientes,2024,Julio,7,19
Aguascalientes,2024,Agosto,8,14
Aguascalientes,2024,Septiembre,9,13
Aguascalientes,2024,Octubre,10,9
Aguascalientes,2024,Noviembre,11,3
Aguascalientes,2024,Diciembre,12,9
Baja California,1990,Enero,1,31
Baja California,1990,Febrero,2,15
Baja California,1990,Marzo,3,20
Baja California,1990,Abril,4,22
Baja California,1990,Mayo,5,27
Baja California,1990,Junio,6,24
Baja California,1990,Julio,7,19
Baja California,1990,Agosto,8,24
Baja California,1990,Septiembre,9,29
Baja California,1990,Octubre,10,25
Baja California,1990,Noviembre,11,22
Baja California,1990,Diciembre,12,14
Baja California,1991,Enero,1,18
Baja California,1991,Febrero,2,17
Baja California,1991,Marzo,3,23
Baja California,1991,Abril,4,15
Baja California,1991,Mayo,5,24
Baja California,1991,Junio,6,37
Baja California,1991,Julio,7,17
Baja California,1991,Agosto,8,24
Baja California,1991,Septiembre,9,26
Baja California,1991,Octubre,10,25
Baja California,1991,Noviembre,11,22
Baja California,1991,Diciembre,12,32
Baja California,1992,Enero,1,33
Baja California,1992,Febrero,2,28
Baja California,1992,Marzo,3,20
Baja California,1992,Abril,4,30
Baja California,1992,Mayo,5,19
Baja California,1992,Junio,6,16
Baja California,1992,Julio,7,19
Baja California,1992,Agosto,8,23
Baja California,1992,Septiembre,9,16
Baja California,1992,Octubre,10,40
Baja California,1992,Noviembre,11,22
Baja California,1992,Diciembre,12,37
Baja California,1993,Enero,1,33
Baja California,1993,Febrero,2,15
Baja California,1993,Marzo,3,8
Baja California,1993,Abril,4,27
Baja California,1993,Mayo,5,12
Baja California,1993,Junio,6,24
Baja California,1993,Julio,7,40
Baja California,1993,Agosto,8,26
Baja California,1993,Septiembre,9,25
Baja California,1993,Octubre,10,23
Baja California,1993,Noviembre,11,33
Baja California,1993,Diciembre,12,23
Baja California,1994,Enero,1,20
Baja California,1994,Febrero,2,21
Baja California,1994,Marzo,3,23
Baja California,1994,Abril,4,32
Baja California,1994,Mayo,5,37
